Phone_Name,Phone_Price
"Samsung Galaxy J3 Pro (Gold, 16 GB)","₹8,490"
"Samsung Galaxy On Nxt (Black, 64 GB)","₹17,900"
"Samsung Galaxy On Nxt (Gold, 64 GB)","₹17,900"
"Samsung Galaxy S8 (Maple Gold, 64 GB)","₹49,990"
"Samsung Galaxy S8 (Midnight Black, 64 GB)","₹49,990"
"Samsung Galaxy J7 Prime (Black, 32 GB)","₹15,300"
"Samsung Galaxy J2 Pro (Silver, 16 GB)","₹8,200"
"Samsung Galaxy A5-2017 (Black Sky, 32 GB)","₹22,900"
"Samsung Galaxy A5-2017 (Gold Sand, 32 GB)","₹22,900"
"Samsung Galaxy A7-2017 (Gold Sand, 32 GB)","₹25,900"
"Samsung Galaxy A7-2017 (Black Sky, 32 GB)","₹25,900"
"Samsung Galaxy C9 Pro (Black, 64 GB)","₹31,900"
"Samsung Galaxy C9 Pro (Gold, 64 GB)","₹31,900"
"Samsung Galaxy J1 (4G) (Black, 8 GB)","₹7,550"
"Samsung Galaxy J1 (4G) (White, 8 GB)","₹7,550"
"Samsung Galaxy J2 Ace (Gold, 8 GB)","₹8,090"
"Samsung Galaxy J2 Ace (Silver, 8 GB)","₹8,090"
"Samsung Galaxy J2 Ace (Black, 8 GB)","₹8,090"
"Samsung Galaxy J1 (4G) (Gold, 8 GB)","₹7,550"
"Samsung Galaxy S7 Edge (Blue Coral, 32 GB)","₹41,900"
"Samsung Galaxy S7 Edge (Pink Gold, 32 GB)","₹41,900"
"Samsung Z2 (Black, 8 GB)","₹4,790"
"Samsung Z2 (Gold, 8 GB)","₹4,790"
"Samsung Galaxy On Nxt (Gold, 32 GB)","₹15,900"
"Samsung Galaxy On Nxt (Black, 32 GB)","₹15,900"
"Samsung Galaxy A9 Pro (Gold, 32 GB)","₹19,980"
"Samsung Galaxy A9 Pro (Black, 32 GB)","₹22,900"
"Samsung Galaxy A9 Pro (White, 32 GB)","₹26,900"
"Samsung Galaxy On8 (Black, 16 GB)","₹13,490"
"Samsung Galaxy J7 Prime (Gold, 16 GB)","₹9,950"
"Samsung Galaxy Note 5 (Dual Sim) (Black Sapphire, 32 GB)","₹46,300"
"Samsung Galaxy Note 5 (Dual Sim) (Silver Titanium, 32 GB)","₹46,300"
"Samsung Galaxy J2 - 2016 (Black, 8 GB)","₹6,990"
"Samsung Galaxy J2 - 2016 (Silver, 8 GB)","₹7,200"
"Samsung Galaxy J2 - 2016 (Gold, 8 GB)","₹6,990"
"Samsung Galaxy Note 5 (Dual Sim) (Gold Platinum, 32 GB)","₹46,300"
Samsung Metro XL,"₹3,220"
Samsung Metro XL,"₹3,220"
"Samsung Galaxy J7 - 6 (New 2016 Edition) (Gold, 16 GB)","₹13,800"
"Samsung Galaxy A5 2016 Edition (Gold, 16 GB)","₹14,490"
"Samsung Galaxy A7 2016 Edition (Gold, 16 GB)","₹17,490"
"Samsung Galaxy J5 - 6 (New 2016 Edition) (Gold, 16 GB)","₹10,990"
"Samsung Galaxy J5 - 6 (New 2016 Edition) (Black, 16 GB)","₹10,990"
"Samsung Galaxy J5 - 6 (New 2016 Edition) (White, 16 GB)","₹10,990"
"Samsung Tizen Z3 (Silver, 8 GB)","₹5,590"
"Samsung Galaxy S7 (Black Onyx, 32 GB)","₹24,999"
"Samsung Galaxy S7 (Silver Titanium, 32 GB)","₹23,500"
"Samsung Galaxy S7 (Gold Platinum, 32 GB)","₹22,222"
"Samsung Galaxy S7 Edge (Gold Platinum, 32 GB)","₹41,900"
"Samsung Galaxy S7 Edge (Silver Titanium, 32 GB)","₹41,900"
"Samsung Galaxy S7 Edge (Black Onyx, 32 GB)","₹41,900"
"Samsung Galaxy A5 2016 Edition (White, 16 GB)","₹14,490"
"Samsung Galaxy A5 (Black, 16 GB)","₹14,490"
"Samsung Galaxy A7 2016 Edition (White, 16 GB)","₹20,700"
"Samsung Galaxy A7 2016 Edition (Black, 16 GB)","₹20,700"
Samsung Metro 350,"₹2,899"
Samsung Metro,"₹2,849"
"Samsung Galaxy Note 5 Dual (Gold Platinum, 32 GB)","₹32,990"
"Samsung Tizen Z3 (Black, 8 GB)","₹5,590"
"Samsung Z3 (Black, 8 GB)","₹5,590"
"Samsung Tizen Z3 (Gold, 8 GB)","₹4,990"
"Samsung Galaxy On5 (Gold, 8 GB)","₹8,990"
"Samsung Galaxy On5 (Black, 8 GB)","₹8,990"
